English,French
710da82be16b7a4215f6514d2ba72252fbceddfa00f35d11881f7b4a7574f405,bd75061407c81153852c7494af91f3e3cd3bad450c1c7166ee0d3b482e50f420
49d34b0366eb0a68eb35c75d6d8aeb1d60be3c49779501a7e1cdf4941acdab46,49d34b0366eb0a68eb35c75d6d8aeb1d60be3c49779501a7e1cdf4941acdab46
479ce8267a8dc66449e53b838492edeab11f9f116eed87da087547c1cd388ae6,479ce8267a8dc66449e53b838492edeab11f9f116eed87da087547c1cd388ae6
4c52452f2c7982af23e8af7bb9c88b094fd9627914bfa3fa59715d89c9719015,140beccd52444b93389713d160560371bb1de65afe36055e076a7b962966c6e7
43f4bfb5660c39443e0b35dd44f100d235b0530f844fedfb181b6e75d71c1e5b,fc57dcd6d05727ce9b164b907ac77638b655240d1fab64284b5690d1e7fa1629
1487aeea21276a966286755f3f5fd9e0e69248b220ad8647496734b770303a4e,c708e68eab909c7a057596ad562b8d98b419e3404546a30e3a23386109af9397
bf1fb0e89b81a457beedf6c4045045b68e2ddbaf45513aaaf52a1872b0dc9987,f36454724f57fe59b9adf9f785e26ccd7e466621027d2bb85dd7ed50947553d7
6e88e6e05899a1195146c31f29520abdce7245107624753990055de37af2545f,5b08c4a725187666180b0fb6880f90df2c3ccc526e1361e9cd347540520c21f6
cc4738a4b83b1adbdd59a03758cf83a06ae2756902145b6b3b54758f7c18c688,3ead74773a1f257b5e47b662406e4e62ed23ea07614d602e03f3e593bbdbad8a
b56ae65e6d040a4bc19b369e8e6b40f50366f9ba826a4ad91b16b9260a27e814,4cd5846d89c4661a057887984a06852b7a758002521035deca933902a374f122
83d3a9f0b5bec4c8c7e3706ae3b55f983af34db7102d79ed5087aa5aac4518aa,c0391b481a19df74ccde8d939a17371c16f1f91bc2540d3cf62c2c53f3b03097
934c68fa0a30f00e699bdc4525f7edef26e53e36985f056e71e504c6368e6375,8e4f36f9b8b54947cbeadb991012cdcb0f159cff18f666e8ac0ed711f19d78fc
7d3325b1e66b30cad32aecd9fac6b9c59e9020b0dbac401b7567fc4bb56a97eb,1bad883bf4cf627c7cf4d2f5640ab06cdbd41fa3d4deb7877cb121b5100aaa6f
29ffe9d6db7d43a1fb17e107747341b8f2ba09b1176857916ac1f1ce73b87739,0564200a466f138be5db17a2812a99ea176743c07e9168c8b397e192e9f192c9
3aa3388fd953dfd939c2325c1547614e813fa387dd499f5b53848cddf7400ed3,b5fec5b07083a2fc4cb172380664a4b05cb2fe2d585a33db4abef51027aeeadf
1efb5cb36d1bbdc74d9ebe1007a5d699e4b12c8a02d233370d4a4eb3e372976e,c91b89922c81a1ca735676f38eda7c0d3e3cdf9cbb6e653f9759110ecea0e800
af9ecba9a056478ad5be1a3d6aa7d097ba153ff4f356d3649c4f7407e203514e,bbdebdcd778cdc05be75d33bccf85fdcdfcede3da79ebf63225a820ffd555815
72b4a8df1c7ea4ea525287175c617ecd85d0524cb952ce4ca7d5663e41f73904,e87a7129166ebdb20b5a165ce1ee326c64c9124e0e47f041082fe38a3bd7f9ef
1ca63b535042e6dc695961ea2c91cb34ceb62b00f8ddddcc818753937b6c9cde,df763643c03c9b15c537d07a5ac218aad711d2e7a395f3aca70053263e1bdf0e
7074b5a1e47eb20c2630135bb658c8c442b42e0918f373940d5d5836f3208782,1aa743d54d8d0168b468eea72aabc588cce013837925d9a3aafda3760b84de0c
ce880e9153ad54c08d88944a37540e3bff2136cc914f7f556d4a4125afb48b27,ce880e9153ad54c08d88944a37540e3bff2136cc914f7f556d4a4125afb48b27
7afc6a040869a1ea4c66d6ac8af0d7426268dd2add4c0b1082652a04d46eb8d2,a8e21ece3cc735dba4f8f8b7d8969db7ee8c30999582c9f8bc6a067b384f3e1a
85b6813484ca81723ed3a9400ab008958ec9c4ab6ffea2d1fcba9fb3136ff08a,fa921ff265d76f3c5c670f8661e5a5af2f06f535d502076e48402890bd01018a
a0e4b81c73d8f2c3c3bfaaee338f7cffc77ec68465a19858825118cad747bfc4,aa45296632591d78ee24b7014df1c0ebbeebdaca71116d6e695a2579370d5d7c
faa2fd36a52b0341dbf38f022143184af863851e376e653462b51678a28724aa,86a47195d126b355060f9c4a8a13782b2e43cd3b39829538f33fce70e23c32dc
83a4dfef4c82ce8f0008804014266161f9c009fa23b110c966f249215b08d3f4,ce83599a79a6e7104b740abef2cdb2ac5f4b2b763e25fe1ac164237d4e921fe2
23a5191eb4b5291253a6cab0b762dc8c8f0249ef3c8ae345a0eeb4b8235e6ccb,5fce7f07e6a651861e7db6b4a4b3e8a75849bcc17b95ef029b174f220b8d465d
b0fa26fe6493dc3d30d1600eacaab1285cd95823b702957e4e6e458da37daf8c,77061d6e50ff631f6f26ea1b8e5406ecc1a59b354edb5d52472f1076de03a38c
cc6d6043bb3ba7b0991184a90452ddaacda4143490900f7404a883ff0a02b7da,59b5b6a0ec915f4af66157984ca06a5ab32536883d377776e0f0c02ab61a4a77
2dacdafe0849f0ae5173f46f6c6b55111175e54a78f606143bd5f9962d6bf7db,0bb25e8ba6143fd61a4339ad9763420bb1d853ce66d142b8a7fd667a7d5509cd
300151e9a3d04bc9b7334a9ef0aea17ab2b73776c146a254a448d6e358080a28,ae4eed7c7b802ee772fd18fe3f9a34d1edb5d96b89fac266dc7f1ed9381946fc
001c55d5e87e79bef16a5f3cd6c487f5494953d6c61872c2461255a726afea05,99ceb59bb9f03cf7940331d679fbe432bd1aec650ff00722876bdeb122624f0a
bc9ed60e743b38efab1d3f44936a79439a7d91a827403c5c0ddefeed11c3bad8,f8e124dcc5d69aa48f3c0e36d4d4b1b2ee47d86a52c1cd76785db7e8204e3918
7c6ffa22d25048eb3151789183257f6e7e30da0e839bc9442905cd1eab2d7122,7c6ffa22d25048eb3151789183257f6e7e30da0e839bc9442905cd1eab2d7122
cc203d764fe9ab962c1bdda509b7c169e161c673e21451bc95c69d103e7e3fea,d07f9aad6dcb5479bc295c1e00664a8b8326b9bcb3da63eeba5b99563aa4e81b
2dc670e7ffe1f12aa0326631b39a0b6d72da153425c7f5f9aed627a71c1487d6,2dc670e7ffe1f12aa0326631b39a0b6d72da153425c7f5f9aed627a71c1487d6
